id,surface,file,line,component,element,label,disabled,handler,coverage
"UI105","desktop","src/renderer/src/App.tsx","2114","SettingsDialog","Switch","""Agent updates in chat""","{!snapshot.settings.multiAgentEnabled}","onChange: {(checked) => void patchSettings({ interruptAgentMessage: checked })}","Source control site; consult the journey register and release verification scope"
"UI106","desktop","src/renderer/src/App.tsx","2119","SettingsDialog","button","","","onClick: {() => beginAgentDraft(template)}","Source control site; consult the journey register and release verification scope"
"UI107","desktop","src/renderer/src/App.tsx","2122","SettingsDialog","button","New","","onClick: {() => beginAgentDraft({ name: """", description: """", developerInstructions: """", scope: ""personal"", icon: ""lime"" })}","Source control site; consult the journey register and release verification scope"
"UI108","desktop","src/renderer/src/App.tsx","2123","SettingsDialog","input","""Search agent library""","","onChange: {(e) => setAgentSearch(e.target.value)}","Source control site; consult the journey register and release verification scope"
"UI109","desktop","src/renderer/src/App.tsx","2125","SettingsDialog","button","Clear search","","onClick: {() => setAgentSearch("""")}","Source control site; consult the journey register and release verification scope"
"UI110","desktop","src/renderer/src/App.tsx","2127","SettingsDialog","button","{agent.builtIn ? <span className=""agent-row-action""><Copy size={14} />Duplicate</span> : <span className=""agent-row-action"">Edit<ArrowUpRight size={13} /></span>}","","onClick: {() => editAgent(agent)}","Source control site; consult the journey register and release verification scope"
"UI111","desktop","src/renderer/src/App.tsx","2145","SettingsDialog","Switch","""OpenRouter MCP tools""","","onChange: {(checked) => void patchSettings({ openRouterExternalTools: checked })}","Source control site; consult the journey register and release verification scope"
"UI112","desktop","src/renderer/src/App.tsx","2153","SettingsDialog","Switch","{`${server.name} MCP server`}","{busy === server.id}","onChange: {(enabled) => void toggleCapability(server.id, () => window.grokky.setMcpEnabled(server.id, enabled))}","Source control site; consult the journey register and release verification scope"
"UI113","desktop","src/renderer/src/App.tsx","2168","SettingsDialog","Switch","""Connector runtime""","","onChange: {(checked) => void patchSettings({ connectorsEnabled: checked })}","Source control site; consult the journey register and release verification scope"
"UI114","desktop","src/renderer/src/App.tsx","2176","SettingsDialog","Switch","{`${connector.name} connector`}","{!snapshot.settings.connectorsEnabled || busy === connector.id}","onChange: {(enabled) => void toggleCapability(connector.id, () => window.grokky.setConnectorEnabled(connector.id, enabled))}","Source control site; consult the journey register and release verification scope"
"UI115","desktop","src/renderer/src/App.tsx","2207","DeleteConversationDialog","div","","","onMouseDown: {(event) => { if (!busy && event.currentTarget === event.target) onCancel(); }}","Source control site; consult the journey register and release verification scope"
"UI116","desktop","src/renderer/src/App.tsx","2216","DeleteConversationDialog","button","Cancel","{busy}","onClick: {onCancel}","Source control site; consult the journey register and release verification scope"
"UI117","desktop","src/renderer/src/App.tsx","2217","DeleteConversationDialog","button","{busy ? ""Deleting…"" : ""Delete chat""}","{busy}","onClick: {onConfirm}","Source control site; consult the journey register and release verification scope"
"UI118","desktop","src/renderer/src/App.tsx","2256","ComputerApprovalDialog","button","""Copy exact approval target""","{busy}","onClick: {() => void copyTarget()}","Source control site; consult the journey register and release verification scope"
"UI119","desktop","src/renderer/src/App.tsx","2263","ComputerApprovalDialog","button","Deny","{busy}","onClick: {() => onDecision(""deny"")}","Source control site; consult the journey register and release verification scope"
"UI120","desktop","src/renderer/src/App.tsx","2264","ComputerApprovalDialog","button","Allow once","{busy}","onClick: {() => onDecision(""allow-once"")}","Source control site; consult the journey register and release verification scope"
"UI121","desktop","src/renderer/src/App.tsx","2265","ComputerApprovalDialog","button","{busy ? <InlineLoader label=""Applying approval"" /> : <ShieldCheck size={14} />} {request.agentName ? ""Allow all for this agent run"" : ""Allow all for this run""}","{busy}","onClick: {() => onDecision(""allow-session"")}","Source control site; consult the journey register and release verification scope"
"UI122","desktop","src/renderer/src/App.tsx","2296","AgentComputerEvidencePreview","button","Open","","onClick: {() => setExpanded(true)}","Source control site; consult the journey register and release verification scope"
"UI123","desktop","src/renderer/src/App.tsx","2298","AgentComputerEvidencePreview","button","Retry","","onClick: {() => setRetry((value) => value + 1)}","Source control site; consult the journey register and release verification scope"
"UI124","desktop","src/renderer/src/App.tsx","2302","AgentComputerEvidencePreview","div","{`${evidence.title} expanded cloud computer frame`}","","onMouseDown: {(event) => { if (event.target === event.currentTarget) setExpanded(false); }}","Source control site; consult the journey register and release verification scope"
"UI125","desktop","src/renderer/src/App.tsx","2303","AgentComputerEvidencePreview","button","""Close expanded computer frame""","","onClick: {() => setExpanded(false)}","Source control site; consult the journey register and release verification scope"
"UI126","desktop","src/renderer/src/App.tsx","2408","AgentLiveDesktop","button","""Zoom live desktop out""","{zoom <= 1}","onClick: {() => updateZoom(zoom - 0.25)}","Source control site; consult the journey register and release verification scope"
"UI127","desktop","src/renderer/src/App.tsx","2410","AgentLiveDesktop","button","""Zoom live desktop in""","{zoom >= 3}","onClick: {() => updateZoom(zoom + 0.25)}","Source control site; consult the journey register and release verification scope"
"UI128","desktop","src/renderer/src/App.tsx","2411","AgentLiveDesktop","button","Fit","","onClick: {() => setZoom(1)}","Source control site; consult the journey register and release verification scope"
"UI129","desktop","src/renderer/src/App.tsx","2412","AgentLiveDesktop","button","{fullscreen ? ""Exit full screen"" : ""Watch live desktop full screen""}","","onClick: {() => void toggleFullscreen()}","Source control site; consult the journey register and release verification scope"
"UI130","desktop","src/renderer/src/App.tsx","2417","AgentLiveDesktop","button","Retry","","onClick: {() => liveViewRef.current?.reload()}","Source control site; consult the journey register and release verification scope"
